gray_level,probability
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1.35633680556e-05
82,4.74717881944e-05
83,0.000169542100694
84,0.000495062934028
85,0.00101725260417
86,0.00199381510417
87,0.00313313802083
88,0.00553385416667
89,0.00809054904514
90,0.0102199978299
91,0.0127902560764
92,0.0151570638021
93,0.0177680121528
94,0.021002875434
95,0.0233357747396
96,0.0252075195312
97,0.0270385742188
98,0.0276692708333
99,0.0291205512153
100,0.0291612413194
101,0.0285983615451
102,0.0288221571181
103,0.0290934244792
104,0.0275404188368
105,0.0269368489583
106,0.0267605251736
107,0.025139702691
108,0.0243191189236
109,0.0241563585069
110,0.0236002604167
111,0.023200141059
112,0.0224270290799
113,0.0234714084201
114,0.0222371419271
115,0.0225490993924
116,0.0225084092882
117,0.0230305989583
118,0.022956000434
119,0.0230170355903
120,0.0239596896701
121,0.0231255425347
122,0.0235866970486
123,0.0228271484375
124,0.0233154296875
125,0.0231051974826
126,0.0215115017361
127,0.0198567708333
128,0.0183715820312
129,0.0162014431424
130,0.0133938259549
131,0.0111626519097
132,0.00916883680556
133,0.00716824001736
134,0.00560845269097
135,0.00355360243056
136,0.00233289930556
137,0.00121392144097
138,0.000678168402778
139,0.000318739149306
140,0.000128851996528
141,2.71267361111e-05
142,3.39084201389e-05
143,2.03450520833e-05
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
